"MET","TIME","MEAN","SD"
"aspartic acid","0.5",0.77,0.05
"aspartic acid","1",0.74,0.09
"aspartic acid","2",0.8,0.06
"aspartic acid","4",1.14,0.17
"aspartic acid","12",0.7,0.02
"aspartic acid","24",0.53,0.06
"aspartic acid","48",0.59,0.08
"aspartic acid","72",0.38,0.05
"asparagine","0.5",1.01,0.11
"asparagine","1",0.97,0.02
"asparagine","2",1.17,0.11
"asparagine","4",0.95,0.06
"asparagine","12",0.74,0.08
"asparagine","24",1,0.02
"asparagine","48",0.87,0.03
"asparagine","72",0.46,0.07
"serine ","0.5",0.79,0.02
"serine ","1",0.82,0.04
"serine ","2",0.94,0.12
"serine ","4",0.9,0.01
"serine ","12",0.82,0.01
"serine ","24",0.82,0.02
"serine ","48",0.88,0.04
"serine ","72",0.8,0
"glycine","0.5",0.91,0.01
"glycine","1",0.85,0.02
"glycine","2",0.96,0.01
"glycine","4",0.82,0.03
"glycine","12",0.78,0.01
"glycine","24",0.81,0.04
"glycine","48",0.97,0.03
"glycine","72",0.87,0.04
"alanine","0.5",0.92,0.04
"alanine","1",0.86,0.09
"alanine","2",0.85,0.03
"alanine","4",0.91,0.04
"alanine","12",0.71,0
"alanine","24",1.31,0.06
"alanine","48",1.3,0.03
"alanine","72",1.38,0.06
"glutamic acid","0.5",0.46,0.02
"glutamic acid","1",0.55,0.02
"glutamic acid","2",0.48,0.02
"glutamic acid","4",0.71,0.03
"glutamic acid","12",0.52,0.04
"glutamic acid","24",0.69,0.07
"glutamic acid","48",0.59,0.05
"glutamic acid","72",0.61,0.05
"glutamine","0.5",0.45,0.03
"glutamine","1",0.63,0.08
"glutamine","2",0.61,0.04
"glutamine","4",0.73,0.03
"glutamine","12",0.75,0.03
"glutamine","24",0.72,0.02
"glutamine","48",0.6,0.04
"glutamine","72",0.37,0.04
"threonine","0.5",0.9,0.06
"threonine","1",1.04,0.04
"threonine","2",1.08,0.06
"threonine","4",0.98,0.01
"threonine","12",0.89,0.06
"threonine","24",1.16,0.03
"threonine","48",1.01,0.08
"threonine","72",0.54,0.03
"proline","0.5",0.96,0.03
"proline","1",1.04,0.02
"proline","2",0.93,0.02
"proline","4",0.8,0.01
"proline","12",0.95,0.03
"proline","24",1.08,0.01
"proline","48",0.97,0.03
"proline","72",0.64,0.04
"valine","0.5",0.81,0.01
"valine","1",1.01,0.06
"valine","2",1.01,0.11
"valine","4",1.01,0.04
"valine","12",0.85,0.03
"valine","24",0.69,0.01
"valine","48",0.7,0.01
"valine","72",0.43,0.05
"tryptophan","0.5",1.31,0.06
"tryptophan","1",2.34,0.09
"tryptophan","2",2.18,0.05
"tryptophan","4",1.11,0.04
"tryptophan","12",1.01,0.07
"tryptophan","24",0.37,0.02
"tryptophan","48",0.45,0.03
"tryptophan","72",0.24,0.03
"isoleucine","0.5",1.07,0.04
"isoleucine","1",1.21,0.03
"isoleucine","2",1.2,0.14
"isoleucine","4",1.12,0.03
"isoleucine","12",0.92,0.04
"isoleucine","24",0.85,0.05
"isoleucine","48",1.04,0.04
"isoleucine","72",0.16,0.02
"leucine","0.5",1.11,0.01
"leucine","1",1.15,0.03
"leucine","2",1.22,0.17
"leucine","4",1.2,0
"leucine","12",0.89,0.04
"leucine","24",0.56,0.03
"leucine","48",0.72,0.02
"leucine","72",0.22,0.02
"phenylalanine","0.5",1.47,0.06
"phenylalanine","1",1.88,0.08
"phenylalanine","2",1.6,0.01
"phenylalanine","4",1.31,0.05
"phenylalanine","12",0.66,0.03
"phenylalanine","24",0.29,0
"phenylalanine","48",0.5,0.01
"phenylalanine","72",0.61,0.1
"pyruvate","0.5",1.19,0.08
"pyruvate","1",1.32,0.27
"pyruvate","2",0.86,0
"pyruvate","4",0.68,0.14
"pyruvate","12",0.54,0.15
"pyruvate","24",1.84,0.47
"pyruvate","48",3.23,0.63
"pyruvate","72",3.63,0.07
"lactate","0.5",0.87,0
"lactate","1",1.26,0.31
"lactate","2",0.98,0.01
"lactate","4",0.67,0.26
"lactate","12",0.53,0.41
"lactate","24",4.94,1.45
"lactate","48",3.67,0.69
"lactate","72",12.7,0.25
"phosphorate","0.5",1.29,0.01
"phosphorate","1",0.92,0.1
"phosphorate","2",0.95,0.01
"phosphorate","4",1.21,0.13
"phosphorate","12",1.19,0.09
"phosphorate","24",1.92,0.07
"phosphorate","48",0.96,0.13
"phosphorate","72",0.55,0
"n-butylamine","0.5",1.09,0.15
"n-butylamine","1",1.08,0.12
"n-butylamine","2",1.07,0.02
"n-butylamine","4",0.96,0.11
"n-butylamine","12",0.95,0.19
"n-butylamine","24",1.05,0.04
"n-butylamine","48",1.03,0.05
"n-butylamine","72",1.07,0.16
"ethanolamine","0.5",1.31,0.04
"ethanolamine","1",1.45,0.31
"ethanolamine","2",1.18,0.02
"ethanolamine","4",1.22,0.14
"ethanolamine","12",0.52,0.01
"ethanolamine","24",0.59,0.03
"ethanolamine","48",0.31,0.02
"ethanolamine","72",0.26,0.02
"glycerol","0.5",1.61,0.06
"glycerol","1",0.72,0.24
"glycerol","2",0.68,0.02
"glycerol","4",1.91,0.04
"glycerol","12",1.42,0.09
"glycerol","24",3.3,0.21
"glycerol","48",0.9,0.07
"glycerol","72",1.4,0.04
"succinate","0.5",0.75,0.01
"succinate","1",1.08,0.12
"succinate","2",0.8,0.02
"succinate","4",0.55,0.04
"succinate","12",0.39,0.05
"succinate","24",0.21,0
"succinate","48",0.87,0.07
"succinate","72",1.62,0.01
"glycerate","0.5",1.17,0.05
"glycerate","1",0.82,0.12
"glycerate","2",0.58,0
"glycerate","4",0.97,0.07
"glycerate","12",1.18,0.07
"glycerate","24",1.6,0.17
"glycerate","48",1.35,0.3
"glycerate","72",0.7,0.04
"fumarate","0.5",0.82,0.03
"fumarate","1",0.92,0.1
"fumarate","2",0.72,0.02
"fumarate","4",0.7,0.02
"fumarate","12",0.53,0.01
"fumarate","24",0.23,0.06
"fumarate","48",0.91,0.14
"fumarate","72",2.3,0.05
"cadaverine","0.5",1.06,0.04
"cadaverine","1",1,0.05
"cadaverine","2",1.07,0.04
"cadaverine","4",0.89,0.03
"cadaverine","12",0.92,0.08
"cadaverine","24",0.91,0.06
"cadaverine","48",1.08,0.04
"cadaverine","72",0.96,0.01
"malate","0.5",0.79,0.03
"malate","1",1.11,0.15
"malate","2",0.87,0.06
"malate","4",0.73,0.01
"malate","12",0.62,0.03
"malate","24",1.17,0.38
"malate","48",0.82,0.06
"malate","72",2.27,0.05
"4-aminobutyrate","0.5",0.87,0
"4-aminobutyrate","1",1.26,0.24
"4-aminobutyrate","2",1.21,0
"4-aminobutyrate","4",0.87,0.05
"4-aminobutyrate","12",0.77,0.04
"4-aminobutyrate","24",1.01,0.07
"4-aminobutyrate","48",0.92,0.06
"4-aminobutyrate","72",1.7,0.11
"cysteine","0.5",1.03,0.08
"cysteine","1",1.5,0.18
"cysteine","2",1.34,0.15
"cysteine","4",0.97,0.08
"cysteine","12",0.74,0.11
"cysteine","24",0.27,0.05
"cysteine","48",1.23,0.25
"cysteine","72",0.78,0.6
"a-ketoglutarate","0.5",1.17,0.17
"a-ketoglutarate","1",0.99,0.26
"a-ketoglutarate","2",0.9,0.17
"a-ketoglutarate","4",0.91,0.29
"a-ketoglutarate","12",0.84,0.27
"a-ketoglutarate","24",0.47,0.05
"a-ketoglutarate","48",1.88,0.42
"a-ketoglutarate","72",1.84,0.03
"aconitate","0.5",1.5,0.11
"aconitate","1",0.91,0.21
"aconitate","2",1,0.03
"aconitate","4",1.71,0.4
"aconitate","12",0.95,0.18
"aconitate","24",0.7,0.14
"aconitate","48",0.37,0.04
"aconitate","72",0.82,0.14
"putrescine","0.5",0.6,0.01
"putrescine","1",0.94,0.06
"putrescine","2",0.82,0.02
"putrescine","4",0.92,0.14
"putrescine","12",0.87,0.06
"putrescine","24",0.49,0.02
"putrescine","48",0.8,0.13
"putrescine","72",0.56,0.01
"ribonate","0.5",1.01,0.01
"ribonate","1",1,0.08
"ribonate","2",0.92,0.02
"ribonate","4",0.87,0.03
"ribonate","12",0.83,0.04
"ribonate","24",0.78,0.08
"ribonate","48",0.84,0.01
"ribonate","72",0.81,0.02
"shikimate","0.5",0.71,0.08
"shikimate","1",0.9,0.19
"shikimate","2",0.6,0.02
"shikimate","4",0.54,0.03
"shikimate","12",0.53,0.01
"shikimate","24",0.37,0.06
"shikimate","48",0.76,0.04
"shikimate","72",2.02,0.14
"citrate","0.5",1.1,0.1
"citrate","1",1.15,0.25
"citrate","2",1.6,0.15
"citrate","4",1.24,0.07
"citrate","12",1,0.05
"citrate","24",0.34,0.1
"citrate","48",0.61,0.07
"citrate","72",0.76,0.02
"D-fructose","0.5",0.72,0.02
"D-fructose","1",1.05,0.1
"D-fructose","2",0.89,0.01
"D-fructose","4",0.64,0.05
"D-fructose","12",0.26,0.02
"D-fructose","24",0.62,0.04
"D-fructose","48",0.85,0.15
"D-fructose","72",1.59,0.09
"glucose","0.5",0.97,0
"glucose","1",1.02,0.02
"glucose","2",1.02,0.01
"glucose","4",0.85,0.04
"glucose","12",0.85,0.03
"glucose","24",0.38,0.03
"glucose","48",0.63,0.01
"glucose","72",0.58,0.01
"lysine","0.5",1.32,0.02
"lysine","1",1.74,0.62
"lysine","2",1.85,0.01
"lysine","4",1.28,0.23
"lysine","12",0.7,0.07
"lysine","24",0.26,0.08
"lysine","48",0.97,0.04
"lysine","72",0.25,0.01
"tyrosine","0.5",1.81,0.02
"tyrosine","1",3.71,0.47
"tyrosine","2",3.64,0.21
"tyrosine","4",1.25,0.3
"tyrosine","12",0.76,0.06
"tyrosine","24",0.26,0.05
"tyrosine","48",0.84,0.34
"tyrosine","72",0.14,0.03
"gluconate","0.5",0.95,0.01
"gluconate","1",1.08,0.08
"gluconate","2",1,0.02
"gluconate","4",0.85,0.05
"gluconate","12",0.7,0.04
"gluconate","24",0.36,0.03
"gluconate","48",0.51,0.04
"gluconate","72",0.48,0.02
"galactonate","0.5",1.07,0.07
"galactonate","1",0.94,0.05
"galactonate","2",0.95,0
"galactonate","4",0.9,0.02
"galactonate","12",0.78,0.03
"galactonate","24",0.56,0.03
"galactonate","48",0.75,0.05
"galactonate","72",0.71,0.05
"inositol","0.5",1.03,0
"inositol","1",0.88,0.13
"inositol","2",0.83,0.01
"inositol","4",0.88,0.05
"inositol","12",1,0.03
"inositol","24",2.37,0.24
"inositol","48",1.63,0.08
"inositol","72",1.6,0.03
"uric acid","0.5",0.76,0.01
"uric acid","1",1.52,0.45
"uric acid","2",2.5,0.1
"uric acid","4",0.74,0.19
"uric acid","12",0.52,0.1
"uric acid","24",0.78,0.25
"uric acid","48",1.76,0.16
"uric acid","72",1.46,0.04
"sucrose","0.5",0.86,0.01
"sucrose","1",1.1,0.11
"sucrose","2",1.49,0.06
"sucrose","4",0.89,0.15
"sucrose","12",1.08,0.11
"sucrose","24",0.53,0.04
"sucrose","48",2.12,0.22
"sucrose","72",10,0.05
"trehalose","0.5",1.11,0.08
"trehalose","1",0.96,0.13
"trehalose","2",0.88,0.04
"trehalose","4",0.75,0.09
"trehalose","12",0.9,0.1
"trehalose","24",0.73,0.06
"trehalose","48",0.87,0.13
"trehalose","72",1.42,0.02
